Question,Label
What does Creatives use to create for Aaruush TV?,Committee
What sub Domains does Creatives have?,Committee
What is the name of the Committee that helps establish and maintain lines of communication between an organisation and its public?,Committee
"What does Deco & Arts help?",Committee
"What are the four sub-divisions Letters, Documentation, NGOs, Media?",Committee
"What is a Committee that embodies new ideas, projects and initiatives which will create a difference?",Committee
Initiatives promises to bring out the innovative side of you in the pursuit of taking our fest to what?,Committee
What is the name of the Committee that helps establish and maintain lines of communication between an organisation and its public?,Committee
What does Deco & Arts help?,Committee
What is the main purpose of Corporate Strategy & Implementation?,Committee
What is the full form of CSI?,Committee
who handles crowd management ?,Committee
who take cares of posters and banners?,Committee
Who brands aaruush in all aspects?,Committee
which Committee handles social media for aaruush?,Committee
"who is responsible for in and off campus publicity, Strategising work plans and executing them.?",Committee
Which committe does roadshow planning and execution?,Committee
Which Committee handles social campus ambassdor program?,Committee
which Committees handles helpdesks?,Committee
"which Committee looks after sales of workshops, highlights and events?",Committee
which Committee handles crisis management?,Committee
who deals with the resources required for aaruush team?,Committee
which Committee helps maintain proper workflow by ensuring proper permissions?,Committee
which Committee works with CSI for crisis management?,Committee
which committe examines the accounts of aaruush?,Committee
which Committee scrutinizes proposals for expenditure?,Committee
who proposes the annual budget of aaruush?,Committee
Does finance approves all the expenditure?,Committee
what are the basis of to fix limits for annual expenditure?,Committee
who ensures the quality of the fest?,Committee
what does quality assurance procedure consists of ?,Committee
who looks after accomodation of externa participants during the fest?,Committee
who haves corporate meetings with professional?,Committee
who brings sponsors for aaruush?,Committee
which Committee implements marketing ideas?,Committee
which Committee believes in deliver more than a drive by impression ?,Committee
Who takes care of guest lectures?,Committee
Who organizes aaruush nites?,Committee
who is responsible for proshows?,Committee
who takes care of all the personalities that become a part of this national level fest?,Committee
who organize unconference?,Committee
Aaruush live is a event organized by?,Committee
All necessities of the guests is taken care by which Committee?,Committee
who takes care of transportation of guests?,Committee
which Committee conducts workshops?,Committee
which committe conceptualizes and ideates on workshops?,Committee
who collaborated with big organization accross world to conduct workshops?,Committee
which Committee organizes alot of challenges under one roof?,Committee
why should students participate in challenges and championship events?,Committee
"which Committee organizes events like RC racing, robo-wars etc. ?",Committee
which Committee organizes events to test the skills of participants?,Committee
which Committee organizes events to test technical skills of participants by obeying certain specification?,Committee
which Committee increases the reach of aaruush?,Committee
which Committee publicise aaruush accross the country?,Committee
which Committee decides to collaborate with other colleges to increase the reach of the fest?,Committee
which Committee organizes events in other colleges on behalf of aaruush?,Committee
which Committee increase the brand value of aaruush?,Committee
which Committee boosts aaruush's nation wide promotion?,Committee
Which Domain is related to Planning?,Domain
Which Domain uses space and layouts?,Domain
Which Domain is related to Architecture?,Domain
Which Domain is efficient in enhancing designs?,Domain
Which Domain uses Images or graphic forms?,Domain
I am interested in Digital design. Which Domain should I opt for ?,Domain
Domain related to costume design?,Domain
Why are Domains important?,Domain
Which Domain is associated with words and communication design?,Domain
Why are Domains important?,Domain
Are there technical Domains?,Domain
Is machinisation a technical Domain?,Domain
I am interested in Mechanical and automobile related stuff. Which Domain should I choose?,Domain
